Season,Rider,Country,Constructor,Class
1961,Mike Hailwood,GB,Honda,250cc
1961,Tom Phillis,AU,Honda,125cc
1960,John Surtees,GB,MV Agusta,MotoGP™
1960,Carlo Ubbiali,IT,MV Agusta,250cc
1960,Carlo Ubbiali,IT,MV Agusta,125cc
1960,John Surtees,GB,MV Agusta,350cc
1959,John Surtees,GB,MV Agusta,MotoGP™
1959,Carlo Ubbiali,IT,MV Agusta,250cc
1959,Carlo Ubbiali,IT,MV Agusta,125cc
1959,John Surtees,GB,MV Agusta,350cc
1958,John Surtees,GB,MV Agusta,MotoGP™
1958,Tarquinio Provini,IT,MV Agusta,250cc
1958,Carlo Ubbiali,IT,MV Agusta,125cc
1958,John Surtees,GB,MV Agusta,350cc
1957,Libero Liberati,IT,Gilera,MotoGP™
1957,Cecyl Sandford,GB,Mondial,250cc
1957,Tarquinio Provini,IT,Mondial,125cc
1957,Keith Campbell,AU,Moto Guzzi,350cc
1956,John Surtees,GB,MV Agusta,MotoGP™
1956,Carlo Ubbiali,IT,MV Agusta,250cc
1956,Carlo Ubbiali,IT,MV Agusta,125cc
1956,Bill Lomas,GB,Moto Guzzi,350cc
1955,Geoff Duke,GB,Gilera,MotoGP™
1955,Hermann Paul Müller,DE,NSU,250cc
1955,Carlo Ubbiali,IT,MV Agusta,125cc
1955,Bill Lomas,GB,Moto Guzzi,350cc
1954,Geoff Duke,GB,Gilera,MotoGP™
1954,Werner Haas,DE,NSU,250cc
1954,Rupert Hollaus,AT,NSU,125cc
1954,Fergus Anderson,GB,Moto Guzzi,350cc
1953,Geoff Duke,GB,Gilera,MotoGP™
1953,Werner Haas,DE,NSU,250cc
1953,Werner Haas,DE,NSU,125cc
1953,Fergus Anderson,GB,Moto Guzzi,350cc
1952,Umberto Masetti,IT,Gilera,MotoGP™
1952,Enrico Lorenzetti,IT,Moto Guzzi,250cc
1952,Cecyl Sandford,GB,MV Agusta,125cc
1952,Geoff Duke,GB,Norton,350cc
1951,Geoff Duke,GB,Norton,MotoGP™
1951,Bruno Ruffo,IT,Moto Guzzi,250cc
1951,Carlo Ubbiali,IT,Mondial,125cc
1951,Geoff Duke,GB,Norton,350cc
1950,Umberto Masetti,IT,Gilera,MotoGP™
1950,Dario Ambrosini,IT,Benelli,250cc
1950,Bruno Ruffo,IT,Mondial,125cc
1950,Bob Foster,GB,Velocette,350cc
1949,Leslie Graham,GB,AJS,MotoGP™
1949,Bruno Ruffo,IT,Moto Guzzi,250cc
1949,Nello Pagani,IT,Mondial,125cc
1949,Freddie Frith,GB,Velocette,350cc
