Times,Rider,Country
1,Mitsuo Itoh,JP
1,Jussi Hautaniemi,FI
1,Michel Frutschi,CH
1,Tom Herron,IE
1,Aleix Espargaro,ES
1,Noboiuki Wakai,JP
1,Hugo Vignetti,AR
1,Marcel Ankone,NL
1,Adrian Martin,ES
1,R. Schlachter,US
1,Corrado Catalano,IT
1,Mike Baldwin,US
1,Stefano Nepa,IT
1,Alberto Puig,ES
1,Kevin Magee,AU
1,Paddy Driver,ZA
1,Arnaud Vincent,FR
1,Garry Mccoy,AU
1,Takaaki Nakagami,JP
1,Michael Ranseder,AT
1,Jack Findlay,AU
1,Alexis Masbou,FR
1,Eric Saul,FR
1,Wilco Zeelenberg,NL
1,Mario Lega,IT
1,Pierluigi Aldrovandi,IT
1,Albert Arenas,ES
1,Helmut Kassner,DE
1,Marco Bezzecchi,IT
1,Jeffrey Sayle,AU
1,Marco Masetti,IT
1,Tony Arbolino,IT
1,Roland Freymond,CH
1,Guido Sala,IT
1,Mitsuo Itoh,JP
1,Michel Frutschi,CH
1,Tom Herron,IE
1,Dave Chadwick,GB
1,Hugo Vignetti,AR
1,Andrew Duke,AU
1,Marcel Ankone,NL
1,Klaus Huber,DE
1,R. Schlachter,US
1,Bruno Spaggiari,IT
1,Rudolf Kunz,DE
1,Mike Baldwin,US
1,Bob Anderson,GB
1,Alberto Puig,ES
1,Shinichi Ito,JP
1,Paddy Driver,ZA
1,Takehiro Yamamoto,JP
1,Scott Russell,US
1,Herri Torrontegui,ES
1,Maurizio Vitali,IT
1,Kaito Toba,JP
1,Godfrey Nash,GB
1,Alberto Puig,ES
1,Kevin Magee,AU
1,Paddy Driver,ZA
1,Riccardo Rossi,IT
1,Takehiro Yamamoto,JP
1,Simone Sanna,IT
1,Herri Torrontegui,ES
1,Livio Loi,BE
1,Tony Rutter,GB
1,Xavier Simeon,BE
1,Koji Takada,JP
1,Heinz Rosner,DE
1,Julian Miralles,ES
1,Yoshiaki Katoh,JP
1,Jay Vincent,GB
1,Andrea Ballerini,IT
1,Jamie Robinson,GB
1,Bert Smit,NL
1,Rod Coleman,NZ
1,Ken Mudford,NZ
1,Patrick Fernandez,FR
1,Edmund Czihak,DE
1,Isao Morishita,JP
1,Jacques Bolle,FR
1,Fritz Reitmaier,DE
1,Stuart Graham,GB
1,Graeme Crosby,NZ
1,Florian Alt,DE
1,Horoshi Hasegawa,JP
1,Jean Claude Selini,FR
1,Karel Abraham,CZ
1,Derek Chatterton,GB
1,Chris Vermeulen,AU
1,Mario Rademeyer,ZA
1,Greame Geddes,AU
1,John Newbold,GB
1,Naoki Matsudo,JP
1,John Williams,GB
1,Yonny Hernandez,CO
1,Claudio Corti,IT
1,Horoshi Hasegawa,JP
1,Lazlo Szabo,HU
1,Jean Claude Selini,FR
1,Giampiero Zubani,IT
1,Derek Chatterton,GB
1,Can öncü,TR
1,Greame Geddes,AU
1,John Newbold,GB
1,Norick Abe,JP
1,Patrick Fernandez,FR
1,John Williams,GB
1,Claudio Corti,IT
1,Daryl Beattie,AU
1,Hafizh Syahrin,MT
1,Heinz Rosner,DE
1,Yoshiaki Katoh,JP
1,Florian Alt,DE
1,Andrea Ballerini,IT
1,Karel Abraham,CZ
1,Chris Vermeulen,AU
1,John Newbold,GB
1,Keith Bryen,AU
1,John Williams,GB
1,Claudio Corti,IT
1,Lazlo Szabo,HU
1,Giampiero Zubani,IT
1,Daryl Beattie,AU
1,Can öncü,TR
1,Hafizh Syahrin,MT
1,Norick Abe,JP
1,Patrick Fernandez,FR
1,Heinz Rosner,DE
1,Yoshiaki Katoh,JP
1,Andrea Ballerini,IT
1,Bert Smit,NL
